Molecule,Te (cm^{-1})
AlI,0
AsS,0
BiI,0
BrF,0
BrO,0
CaCl,0
CsBr,0
CsCl,0
CSe,0
CsF,0
CsI,0
GaBr,0
GaI,0
GeS,0
GeSe,0
GeTe,0
HgCl,0
IBr,0
InBr,0
InI,0
KCl,0
KF,0
KI,0
LiBr,0
LiCl,0
LiF,0
LiH,0
LiI,0
LuO,0
NaBr,0
NaCl,0
NaF,0
NaI,0
NbO,0
NiH,0
NiD,0
PbSe,0
PbTe,0
PdD,0
RbCl,0
RbF,0
RbI,0
SbO,0
SiSe,0
SnO,0
SnS,0
SnSe,0
TeO,0
TeSe,0
TlBr,0
TlH,0
TlD,0
YbH,0
ZnD,0
AgO,0
BiF,0
CCl,0
CdH,0
CuCl,0
FeO,0
HgH,0
KBr,0
LaF,0
NaCs,0
NaH,0
RbBr,0
RbCs,0
SF,0
SbP,0
SeH,0
SiBr,0
SiI,0
SnTe,0
SrCl,0
TaO,0
TlI,0
AgAl,0
AgAl,27459.17
AgAl,31744.8
AgBi,0
AgBi,4185
AgBi,16364
AgBi,20753
AgBr,0
AgBr,31280.43
AgBr,43537.4
AgCl,0
AgCl,31602.65
AgCl,43525.7
AgCl,48880
AgF,0
AgF,29220
AgF,31663
AgH,0
AgH,29959
AgD,0
AgD,29960.04
AgI,0
AgI,31194.06
AlBr,0
AlBr,23647
AlBr,23779.3
AlBr,35879.5
AlCl,0
AlCl,24528
AlCl,24593.84
AlCl,24658
AlCl,38254
AlF,0
AlF,27241
AlF,43949.2
AlH,0
AlH,44676
AlD,0
AlD,23653
AlO,0
AlO,5341.7
AlO,5470.6
AlS,0
AlS,23433.8
AsF,0
AsF,138.7
AsF,7053.5
AsF,13648.6
AsF,25719
AsF,25751
AsF,26348
AsF,27152
AsN,0
AsN,35999.7
AsO,0
AsO,1025.97
AsO,26168.4
AsO,26485.2
AsO,31652.45
AsP,0
AsP,32417.05
AuAl,0
AuAl,16265.06
AuBe,0
AuBe,17171.04
AuH,0
AuH,27665.7
AuD,0
AuD,27644.1
AuMg,0
AuMg,18392.7
BaF,0
BaF,11646.9
BaF,12278.2
BaH,0
BaH,9457.45
BaH,9939.82
BaD,0
BaD,9456.2
BaD,9938.34
BaO,0
BaO,16807.2
BaO,17393
BaO,17442
BaO,17586.5
BaS,0
BaS,14493
BBr,0
BBr,18673.83
BBr,18851.48
BBr,
BBr,33935.3
BCl,0
BCl,20200
BCl,36750.92
BeBr,0
BeBr,26353
BeBr,26554
BeCl,0
BeCl,27992
BeF,0
BeF,33233.7
BeH,0
BeH,20033.19
BeD,0
BeD,20036.11
BeT,0
BeT,20037.91
BeI,0
BeI,23544.7
BeI,
BeO,0
BeO,8480
BeO,9405.61
BeS,0
BeS,7960.1
BF,0
BF,29144.3
BF,51157.45
BH,0
BH,
BH,23135.8
BD,0
BD,23142
BiBr,0
BiBr,20532
BiCl,0
BiCl,21801.8
BiH,0
BiH,4917.1
BiD,0
BiD,4916
BiO,0
BiO,8000
BiO,14187
BiS,0
BiS,13343.9
BN,0
BN,27875
BO,0
BO,23833.7
BO,23958.76
BS,0
BS,15876
BS,16209.7
CaF,0
CaF,16489.8
CaF,16562.3
CaH,0
CaH,14413
CaO,0
CaO,8313
CaO,8433
CaS,0
CaS,15220.79
CF,0
CF,22000
CF,42692.9
CF,49399.6
CH,0
CH,5844
CH,23189.8
CD,0
CD,23184.4
ClF,0
ClF,18826.4
ClO,0
ClO,318
ClO,31650
ClO,32169
CN,0
CN,9245.28
CO,0
CO,48686.7
CO,55825.49
CO,61120.1
CO,64230.24
CO,65075.77
CoD,0
CoD,
CoD,22367.4
CP,0
CP,6894.9
CP,7053.2
CrH,0
CrH,11611
CrO,0
CrO,16586
CS,0
CS,27661
CS,31331.4
CS,35675
CS,38683
CS,38904.4
CsH,0
CsH,17845.8
CuF,0
CuF,17543.4
CuH,0
CuH,23434.2
CuD,0
CuD,23412.9
CuI,0
CuI,19734.2
CuO,0
CuO,279.02
CuO,16491.3
CuS,0
CuS,433.4
CuS,17946.1
CuSe,0
CuSe,1590.9
CuSe,17960.4
CuTe,0
CuTe,15991.92
GaCl,0
