,Molecule,D0 (eV),pred,std
0,H2,4.47813,4.464664596205634,0.1282017581657911
1,H2,4.47813,4.408288283174286,0.36241729594404926
2,H2,4.47813,4.4578118993609515,0.12462571488130884
3,H2,4.47813,4.4554032594909465,0.1260601189258324
4,H2,4.47813,4.415528048700171,0.3362898649966632
5,H2,4.47813,4.456886737228918,0.12674251932080188
6,H2,4.47813,4.4117458976491335,0.35062342826667237
7,H2,4.47813,4.450378631155656,0.1207061505460365
8,H2,4.47813,4.484487394488611,0.3614352121310541
9,H2,4.47813,4.466633565413214,0.3247959279429268
10,H2,4.47813,4.482613071149633,0.33215424442040437
11,H2,4.47813,4.458937023633482,0.10958425144508828
12,H2,4.47813,4.466991399852449,0.3537788491148056
13,H2,4.47813,4.434595387541191,0.32120922345001846
14,H2,4.47813,4.45877733853273,0.1268575922963142
15,H2,4.47813,4.455756146036245,0.1190596004757368
16,H2,4.47813,4.455059859856915,0.3654186639496651
17,H2,4.47813,4.4167630562244025,0.36133289446747874
18,H2,4.47813,4.456948459871454,0.12119144467738993
19,H2,4.47813,4.456279089109832,0.3486631802137582
20,H2,4.47813,4.459311195278267,0.12023696581343224
21,H2,4.47813,4.448642443992612,0.34803564840986645
22,H2,4.47813,4.475578946554858,0.3321827515366538
23,H2,4.47813,4.452503562980389,0.3427957435891806
24,H2,4.47813,4.469158077354484,0.3641265074977366
25,H2,4.47813,4.444858797780436,0.12671416686785295
26,H2,4.47813,4.451072545751765,0.11595524384761521
27,H2,4.47813,4.451528920245327,0.34208007152706454
28,H2,4.47813,4.4552328622281,0.11262298412575518
29,H2,4.47813,4.488198214863949,0.40087002807843386
30,H2,4.47813,4.486476588748437,0.32727004893276435
31,H2,4.47813,4.484877806289899,0.37040163454920944
32,H2,4.47813,4.458663790567036,0.11468523420736876
33,H2,4.47813,4.441615459441843,0.3447240597066012
34,H2,4.47813,4.442084430661281,0.3163380669727247
35,H2,4.47813,4.465935015224882,0.11388388411946972
36,H2,4.47813,4.447935666584499,0.12384179377367237
37,H2,4.47813,4.476455238353546,0.3338280716327364
38,H2,4.47813,4.440268447283084,0.3317534710409993
39,H2,4.47813,4.4469997157044485,0.12083616337233534
40,H2,4.47813,4.442707896195486,0.3404494690325401
41,H2,4.47813,4.453659278749613,0.12118001554296126
