,Train_MAE,Train_RMSE,MAE,RMSE,SEM(MAE),SEM(RMSE)
0,1.90E-10,2.83E-10,0.308566927,0.472646223,0.002204438,0.003278304
1,0.047227796,0.093649517,0.336487596,0.503008719,,
2,1.87E-10,2.84E-10,0.367654963,0.55319909,,
3,0.054024905,0.101210853,0.330614451,0.403200702,,
4,0.042591489,0.09033156,0.358317299,0.543307706,,
5,1.91E-10,2.68E-10,0.348643223,0.50972304,,
6,0.047803497,0.095886435,0.379947621,0.535730078,,
7,1.89E-10,2.77E-10,0.316046587,0.568638993,,
8,0.040283834,0.087683375,0.40873151,0.583430583,,
9,0.038933733,0.086606295,0.335710902,0.416652952,,
10,2.17E-10,3.29E-10,0.306236431,0.476984937,,
11,0.046413267,0.093733946,0.291688191,0.43646823,,
12,0.053061062,0.100086217,0.548464026,0.686650044,,
13,0.041140817,0.088482643,0.302063639,0.447420881,,
14,0.047786365,0.093851668,0.28396276,0.421313959,,
15,1.92E-10,2.86E-10,0.508392001,0.793208662,,
16,0.044637627,0.091455824,0.419131327,0.629384992,,
17,0.042501643,0.089006625,0.478197815,0.598027492,,
18,0.04118519,0.089323166,0.328641921,0.436970433,,
19,0.041736909,0.088400252,0.379442701,0.518269642,,
20,0.042346673,0.090212863,0.329005051,0.434490412,,
21,0.040827903,0.089160443,0.396515676,0.592266373,,
22,0.042602868,0.090503307,0.407906171,0.519760739,,
23,0.037060877,0.084763829,0.392787566,0.509665951,,
24,0.04483845,0.092255234,0.362121826,0.609709987,,
25,0.037402883,0.085512807,0.273811532,0.446825603,,
26,1.89E-10,2.70E-10,0.330939765,0.488853014,,
27,0.048301554,0.095026285,0.374503092,0.507922611,,
28,1.96E-10,3.04E-10,0.326588985,0.464467805,,
29,0.042353464,0.089793358,0.337996634,0.50737333,,
30,0.039435855,0.086971263,0.379372186,0.58621316,,
31,0.039685582,0.087679307,0.396238389,0.540671135,,
32,0.041746203,0.089337387,0.455272325,0.699667025,,
33,1.87E-10,2.78E-10,0.374281421,0.561910272,,
34,0.040484783,0.088478458,0.322039741,0.394333358,,
35,0.047355167,0.092950515,0.371569698,0.585162098,,
36,1.86E-10,2.73E-10,0.352253766,0.49581602,,
37,0.040422738,0.088354691,0.366819029,0.491173626,,
38,0.042541243,0.089548305,0.329071024,0.448227555,,
39,0.036199129,0.084473777,0.28600151,0.411223747,,
40,0.042522851,0.091323975,0.375509946,0.457459273,,
41,0.039458823,0.087627507,0.276283286,0.316263899,,
42,0.043510597,0.091114422,0.325105742,0.462818333,,
43,0.044790132,0.091507969,0.308535961,0.422543438,,
44,1.91E-10,2.82E-10,0.373839834,0.498448841,,
45,0.053371305,0.10167477,0.291297374,0.396221866,,
46,0.041700426,0.09025982,0.512809377,0.707664329,,
47,0.044480859,0.093204155,0.34882015,0.432202034,,
48,0.043870655,0.092083557,0.329122313,0.43647313,,
49,0.044497862,0.091909717,0.486886256,0.626241046,,
50,0.0447319,0.092607045,0.482895418,0.669763853,,
51,0.039462403,0.087608758,0.357044471,0.55155498,,
52,0.040855972,0.088910126,0.452553434,0.638675412,,
53,0.043963406,0.091045388,0.347157948,0.46350188,,
54,1.96E-10,3.01E-10,0.297946664,0.438738556,,
55,1.73E-10,2.52E-10,0.318651236,0.497433685,,
56,0.043859965,0.091062124,0.417138314,0.616807165,,
57,2.17E-10,3.33E-10,0.35804425,0.560634552,,
58,0.075989543,0.126941802,0.317815999,0.451309899,,
59,0.048745427,0.095995327,0.32849206,0.426483785,,
60,0.043984736,0.090796294,0.396975984,0.517189551,,
61,0.061706104,0.111010542,0.423699579,0.619077269,,
62,0.043059324,0.090664411,0.377173496,0.606590426,,
63,1.89E-10,2.81E-10,0.442133228,0.648973534,,
64,0.041405422,0.08726054,0.358153364,0.515401057,,
65,1.88E-10,2.76E-10,0.274432896,0.459287269,,
66,0.044192976,0.092561705,0.382652419,0.538990876,,
67,0.043231222,0.089545861,0.252099191,0.328303879,,
68,2.07E-10,3.09E-10,0.44515203,0.618110545,,
69,0.038142396,0.086043968,0.366163195,0.516783428,,
70,1.89E-10,2.76E-10,0.387718703,0.521086701,,
71,1.84E-10,2.82E-10,0.575930223,0.726921398,,
72,2.30E-10,3.51E-10,0.310961041,0.475410694,,
73,1.95E-10,2.87E-10,0.530671008,0.730127571,,
74,0.046858393,0.092855729,0.273373617,0.411745238,,
75,0.041262779,0.088603873,0.396069395,0.556443501,,
76,0.055450936,0.101735023,0.403303869,0.672705871,,
77,0.039163111,0.086911188,0.326837932,0.429776407,,
78,1.96E-10,2.98E-10,0.476002985,0.661862998,,
79,0.043948339,0.090457686,0.32326054,0.46007771,,
80,2.13E-10,3.28E-10,0.526005164,0.730709122,,
81,0.043911532,0.092505338,0.297551988,0.412826862,,
82,0.042774607,0.090433002,0.374062766,0.487418656,,
83,0.04030773,0.088411287,0.44010318,0.587128281,,
84,0.040055001,0.087126709,0.451933065,0.630700364,,
85,1.79E-10,2.71E-10,0.485844143,0.660610639,,
86,0.062733154,0.110016875,0.266670596,0.370611919,,
87,0.059843364,0.107249391,0.411282711,0.564620443,,
88,0.055667896,0.101744185,0.264948081,0.369789426,,
89,0.046247576,0.093481867,0.288284549,0.432846118,,
90,1.93E-10,2.90E-10,0.323781124,0.483753529,,
91,1.98E-10,2.94E-10,0.246268165,0.38373055,,
92,0.069702552,0.117154195,0.307253806,0.42267228,,
93,2.01E-10,2.87E-10,0.423749083,0.690759571,,
94,0.042101716,0.089873596,0.255325229,0.328682868,,
95,0.070396656,0.121821808,0.365504467,0.539343073,,
96,0.038045561,0.085151215,0.32793674,0.472466244,,
97,0.048677326,0.096677964,0.372300791,0.504217147,,
98,1.88E-10,2.75E-10,0.42012914,0.647738709,,
99,0.040631315,0.088410485,0.458567684,0.648984931,,
100,0.0427983,0.089592597,0.281941484,0.357361325,,
101,0.052357327,0.098180025,0.321875769,0.403440152,,
102,0.041955217,0.088807709,0.302925988,0.420009122,,
103,0.042034723,0.08906697,0.270715253,0.357853353,,
104,1.83E-10,2.74E-10,0.39721637,0.562468445,,
105,2.09E-06,3.27E-06,0.285674832,0.439305286,,
106,0.041513634,0.088246361,0.333335453,0.447641473,,
107,0.045500115,0.09333121,0.323152235,0.392633854,,
108,0.044492035,0.091873234,0.29055951,0.375414928,,
109,0.046147184,0.093263528,0.376399687,0.56344357,,
110,0.042357385,0.090935776,0.379592152,0.511308117,,
111,0.044140029,0.09217797,0.370935015,0.487407579,,
112,1.74E-10,2.50E-10,0.48598123,0.752404706,,
113,0.042771463,0.090485355,0.339061295,0.426846479,,
114,0.044555349,0.093597724,0.382018621,0.504313604,,
115,0.044159181,0.090535333,0.240303672,0.302453864,,
116,0.039789833,0.089404319,0.477884874,0.613022805,,
117,0.039473644,0.086430495,0.368917956,0.517006598,,
118,0.042827093,0.090008353,0.484393572,0.753435521,,
119,0.052568925,0.098890299,0.392383846,0.577236074,,
120,0.042903141,0.089871652,0.361787138,0.488317331,,
121,2.22E-10,3.30E-10,0.461026645,0.682546896,,
122,0.068786841,0.121878694,0.450552428,0.636666265,,
123,1.94E-10,2.85E-10,0.362907894,0.512638189,,
124,0.041292652,0.089138799,0.356145095,0.585204947,,
125,2.14E-10,3.24E-10,0.461661504,0.696521653,,
126,0.063782436,0.111846928,0.359928159,0.522462097,,
127,0.03841557,0.087327085,0.440582265,0.562724064,,
128,0.040479772,0.088133993,0.305018164,0.370739651,,
