Molecule name,Electronic state,Reduced mass,Te cm^{-1},omega_e cm^{-1},omega_ex_e cm^{-1},Be cm^{-1},alpha_e cm^{-1},De 10^{-7}cm^{-1},Re \AA,D0 eV,IP eV,Reference,Date of reference
Ag2,X,53.99537037,0,192.4,,,,,2.531,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
AgAl,X $^1\Sigma^+$,21.5440781,0,254.34,1.13,0.12796,0.00076,1.27,2.4728,1.95,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgAl,B $^1\Sigma^+$,21.5440781,27459.17,199.85,1.66,0.11706,0.00112,1.6,2.5854,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgAl,C $^1\Pi$,21.5440781,31744.8,221.06,,0.1225,,1.6,2.525,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgBi,X $0^+$,71.5949106,0,152.14,0.405,0.0198,4.00E-05,0.0135,3.45,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-75
AgBi,X' $1$,71.5949106,4185,148.5,0.5,0.0199,5.00E-05,0.0143,3.44,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-75
AgBi,A $0^+$,71.5949106,16364,144,0.53,0.02,6.00E-05,0.0153,3.43,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-75
AgBi,B $0^+$,71.5949106,20753,145.29,0.335,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Feb-75
AgBr,X $^1\Sigma^+$,46.4235609,0,247.72,0.679,0.06341,0.00023,0.17,2.3931,3.1,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgBr,B $0^+$,46.4235609,31280.43,180.8,4.45,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgBr,C,46.4235609,43537.4,205,0.74,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgCl,X $^1\Sigma$,26.3497888,0,343.49,1.17,0.12298,0.0006,0.63054,2.2808,3.22,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgCl,B $0^+$,26.3497888,31602.65,278.36,4.047,0.11913,0.00149,0.94,2.3174,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgCl,C,26.3497888,43525.7,294.1,1.7,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgCl,D,26.34979,48880,290,,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgD,X $^1\Sigma^+$,1.97685802,0,1250.7,17.17,3.2572,0.0722,859,1.618,2.31,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgD,A $^1\Sigma^+$,1.97685802,29960.04,1160.82,31.73,3.154,0.1,970,1.6443,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgF,X $^1\Sigma^+$,16.1316107,0,513.45,2.593,0.2657,0.00192,2.84,1.9832,3.64,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgF,A $0^+$,16.1316107,29220,455.39,,0.27268,0.00593,3.71,1.9576,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgF,B $0^+$,16.1316107,31663,373.6,,0.25549,,4.72,2.0224,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgH,X $^1\Sigma^+$,0.99841289,0,1759.9,34.06,6.449,0.201,3.44,1.6181,2.28,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgH,A $^1\Sigma^+$,0.99841289,29959,1489.6,87,6.09,0.348,3.89,1.665,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Oct-74
AgI,X $^1\Sigma^+$,58.0247195,0,206.52,0.445,0.04487,0.00014,0.0847,2.5446,2.6,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-74
AgI,B $0^+$,58.0247195,31194.06,127.14,4.255,0.04072,0.00057,0.219,2.6712,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-74
AgO,X,13.91869919,0,490.2,3.1,0.302,2.5,,2.003,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77
AlBr,X $^1\Sigma^+$,20.1070892,0,378,1.28,0.15197,0.00086,1.1285,2.294807,4.43,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlBr,a $^3\Pi_0$,20.1070892,23647,411.2,1.28,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlBr,a $^3\Pi_1$,20.1070892,23779.3,410.32,1.75,0.164,0.001,,2.26,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlBr,A $^1\Pi$,20.1070892,35879.5,297.2,6.4,0.1555,0.00216,1.8,2.322,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlCl,X $^1\Sigma^+$,15.2301459,0,481.3,1.95,0.24393,0.00161,2.5027,2.130113,5.12,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
AlCl,a $^3\Pi$,15.2301459,24528,524.35,2.175,0.25,0.002,,2.1,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",Nov-75
