Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Reference,Date of reference,Notes
Ag2,107,109,53.99537037,X,0,192.4,,,,,2.531,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
AgO,107,16,13.91869919,X,0,490.2,3.1,0.302,2.5,,2.003,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
AlI,27,127,22.26623377,X,0,316.1,1,0.11769985,0.000558586,,2.5371,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Ar2,40,40,20,X,0,25.74,,0.05975,0.00375,,3.756,0.01051,,"[1] K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, [2] J.F. Ogilvie, Y.H. Wang, J. Mol. Struct. 273 (1992) 277.",[1 ]11/1/1977 [2] 1992,
ArNe,40,20,13.33333333,X $^1 \Sigma^{+}$,0,20.9,,,,,3.43,0.0062,,"[1] Bosomworth, D.R.;ÊGush, H.P.,ÊCollision-induced absorption of compressed gases in the far infrared, Part II,ÊCan. J. Phys., 1965, 43, 751. [2] Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369. ",2/28/1977 0:00,
ArXe,40,132,30.69767442,X $O^{+},0,23.771,,,,,4.09,,,"[1] Bosomworth, D.R.;ÊGush, H.P.,ÊCollision-induced absorption of compressed gases in the far infrared, Part II,ÊCan. J. Phys., 1965, 43, 751. [2] Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369. ",[1] 1965 [2] 1976,
As2,75,75,37.4608,X ,0,429.55,1.117,0.10179,0.000333,,2.1026,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,c ,14481.6,314.3,1.17,0.08471,0.00035,,2.3036,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,c ,14644.3,314.3,1.17,0.08471,0.00035,,2.3035,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,e ,19914.7,330,0.9,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,a ,24641.2,337,0.83,0.08664,0.0003,,2.279,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,d ,30818.8,336.7,1.36,0.09222,0.00033,,2.209,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,A ,40349,260.3,,0.07202,,,2.5,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,B ,40925,243.6,,0.0712,,,2.5,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,F ,52221,386,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,G ,54586,377,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,H ,61726,364,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,M ,69607,365,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
As2,75,75,37.4608,N ,72137,319,,,,,,3.96,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Jan-76,
AsS,75,32,22.42990654,X,0,567.94,1.97,0.18476,0.00082,7.8,2.0174,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Nov-77,
Au2,197,197,98.483274,X ${}^1\Sigma_{g}^{+}$,0,190.9,0.42,,7.23E-05,0.025,2.4719,2.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-75,
Au2,197,197,98.483274,A $O_{u}^{+}$,19668.1,142.3,0.445,0.025958,9.03E-05,0.035,2.5679,2.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-75,
Au2,197,197,98.483274,B $O_{u}^{+}$,25685.5,179.85,0.68,0.026961,9.63E-05,0.026,2.5197,2.3,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",Feb-75,
AuF,196.967,18.998,17.32678,X $^1 \Sigma^{+}$,0,448,27,0.264344,0.001869,,1.918,3.323058,,"[1] Evans, C. and Gerry, M., 2000. Confirmation of the Existence of Gold(I) Fluoride, AuF:? Microwave Spectrum and Structure. Journal of the American Chemical Society, 122(7), pp.1560-1561. 
[2] Andreev, S. and BelBruno, J., 2000. Detection of AuF by emission spectroscopy in a hollow cathode discharge. Chemical Physics Letters, 329(5-6), pp.490-494. 
[3] Schršder, D., Hru?‡k, J., Tornieporth-Oetting, I., Klapštke, T. and Schwarz, H., 1994. Definitiver Beweis fŸr die Existenz von AuF. Angewandte Chemie, 106(2), pp.223-225. 
[4] van WŸllen, C., 1998. Molecular density functional calculations in the regular relativistic approximation: Method, application to coinage metal diatomics, hydrides, fluorides and chlorides, and comparison with first-order relativistic calculations. The Journal of Chemical Physics, 109(2), pp.392-399. 
[5] Figgen, D., Rauhut, G., Dolg, M. and Stoll, H., 2005. Energy-consistent pseudopotentials for group 11 and 12 atoms: adjustment to multi-configuration DiracÐHartreeÐFock data. Chemical Physics, 311(1-2), pp.227-244.",[1] 2000 [2] 2000 [3] 1995 [4] 1998 [5] 2005,"1-This re value is taken from the Be given Inclusion of ?e and centrifugal distortion could decrease its value by as much as 0.000015 . 
2- D_0 has been calculated using , omega_{e} and omega_{e}x_{e} and the average of estimated bounds of D_e in ref. [3] (3-3.7 ev) "
