,Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Dipole moment (D),Frank-Condon factor,lambda00,recoil,N_photon,Reference,Date of reference,p1,g1,p2,g2,g1iso,g2iso,g_average,g1_lan_act,g2_lan_act,g1_lan_act_iso,g2_lan_act_iso,atom1,atom2,geometry,type1,type2,type,geometry_theta,e1,e2,n1,n2,sum_p,sum_g,diff_p,diff_g,product_p,product_g,Reduced_g,Reduced_p,g_average_lan_act,g_average_lan_act_iso,Re (\AA)^-1,Re (au),Re (au)^-1,Re (au)^2,Re (au)^-2,4*(np.pi**2)*Re (au),4*(np.pi**2)*Re (au)^-1,omega_e (au)^-2,4*(np.pi**2)*omega_e (au)^-2,omega_e (au),omega_e (au)^2,4*(np.pi**2)*omega_e (au)^2,K,sqrt(K),4*(np.pi**2)*omega_e (au),4*(np.pi**2)*Re (au)*omega_e (au)^2,ve1,ve2,log(D_e)/(R_e^3*Z_1*Z_2),ln(Re (\AA)),rcat,mu^(1/2)
0,HeKr,4.0,84.0,3.818181818,X,0,,,,,,3.75,0.00213,,,,,,,,,1.0,18.0,4.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18,He,Kr,,Noble Gas,Noble Gas,Noble Gas-Noble Gas,,2.0,36.0,2.0,48.0,5.0,36.0,3.0,0,4.0,324,9.0,0.8,18.0,18.0,0.26666666666666666,7.086472457170875,0.1411139330666684,50.21809188624142,0.01991314210554417,279.76271900596873,0.0035744576816851177,,,,,,,,,,0.0,0.0,-19.599699821481064,1.3217558399823195,3.74,1.9540168417902646
1,HeXe,4.0,132.0,3.882352941,X,0,,,,,,4.15,0.00217,,,,,,,,,1.0,18.0,5.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18,He,Xe,,Noble Gas,Noble Gas,Noble Gas-Noble Gas,,2.0,54.0,2.0,78.0,6.0,36.0,4.0,0,5.0,324,9.0,0.8333333333333334,18.0,18.0,0.24096385542168672,7.842362852602435,0.1275125901204835,61.50265511187861,0.016259460639234422,309.6040756999388,0.003229931640076913,,,,,,,,,,0.0,0.0,-20.290617224539055,1.423108334242607,3.74,1.970368732242775
2,ArNe,40.0,20.0,13.33333333,X $^1 \Sigma^{+}$,0,20.9,,,,,3.43,0.0062,,,,,,,"Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369. ",3/3/1977 0:00,3.0,18.0,2.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18,Ar,Ne,,Noble Gas,Noble Gas,Noble Gas-Noble Gas,,18.0,10.0,22.0,10.0,5.0,36.0,1.0,0,6.0,324,9.0,1.2,18.0,18.0,0.29154518950437314,6.481760140825627,0.15427908134110976,42.013214523195856,0.023802034939456762,255.88963365079275,0.0039079347831834374,108191156.80970937,2740514.016898381,9.614e-05,9.2428996e-09,3.6489505028394824e-07,4.8652673359029935e-06,0.0022057351010270915,0.0037954550684829234,2.3651621925150586e-06,0.0,0.0,-19.179976504612092,1.2325602611778486,3.21,3.651483716244672
3,NeKr,20.0,84.0,16.15384615,X $^1 \Sigma^{+}$,0,18.7,,,,,3.58,0.0064,,,,,,,"Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369. ",2/28/1977 0:00,2.0,18.0,4.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18,Ne,Kr,,Noble Gas,Noble Gas,Noble Gas-Noble Gas,,10.0,36.0,10.0,48.0,6.0,36.0,2.0,0,8.0,324,9.0,1.3333333333333333,18.0,18.0,0.27932960893854747,6.765219039112462,0.1478148740223482,45.768188647169744,0.021849236982242663,267.0801424110315,0.003744194498971841,135145355.04603836,3423271.8342571473,8.601999999999999e-05,7.399440399999999e-09,2.9211819814975354e-07,4.718832430526333e-06,0.002172287372915088,0.003395933482326826,1.9762435957939393e-06,0.0,0.0,-19.96978260456174,1.275362800412609,3.21,4.019184761864028
4,NeXe,20.0,132.0,17.36842105,X $^1 \Sigma^{+}$,0,17.5,,,,,3.74,0.0065,,,,,,,"Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369. ",3/2/1977 0:00,2.0,18.0,5.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18,Ne,Xe,,Noble Gas,Noble Gas,Noble Gas-Noble Gas,,10.0,54.0,10.0,78.0,7.0,36.0,3.0,0,10.0,324,9.0,1.4285714285714286,18.0,18.0,0.267379679144385,7.067575197285087,0.14149124304813007,49.95061916927933,0.020019771859305015,279.01668508861945,0.0035840150551655595,154315034.14220127,3908845.4782739,8.05e-05,6.480250000000001e-09,2.558300156806373e-07,4.44336342956941e-06,0.0021079287059977644,0.0031780126171507737,1.8080978735455266e-06,0.0,0.0,-20.490911959175435,1.3190856114264407,3.21,4.16754376701673
5,Ar2,40.0,40.0,20.0,X,0,25.74,,0.05975,0.00375,,3.756,0.01051,,,,,,,,,3.0,18.0,3.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18,Ar,Ar,,Noble Gas,Noble Gas,Noble Gas-Noble Gas,,18.0,18.0,22.0,22.0,6.0,36.0,0.0,0,9.0,324,9.0,1.5,18.0,18.0,0.26624068157614483,7.097810813102348,0.14088851144835104,50.37891833859261,0.019849572658132145,280.21033935637826,0.0035687476853884965,71329183.3010174,1806789.3200750896,0.00011840399999999999,1.4019507215999997e-08,5.534679604805503e-07,1.1069359209611006e-05,0.003327064653656584,0.004674402558026337,3.928410874604553e-06,0.0,0.0,-19.512368177180903,1.3233545613460165,3.74,4.47213595499958
6,XeKr,132.0,84.0,51.33333333,X $^1 \Sigma^{+}$,0,20.3,,,,,4.18,0.0138,,,,,,,"Bobetic, M.V.; Barker, J.A., Vibrational levels of heteronuclear rare gas van der Waals molecules, J. Chem. Phys., 1976, 64, 2367-2369. ",2/27/1977 0:00,5.0,18.0,4.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18,Xe,Kr,,Noble Gas,Noble Gas,Noble Gas-Noble Gas,,54.0,36.0,78.0,48.0,9.0,36.0,1.0,0,20.0,324,9.0,2.2222222222222223,18.0,18.0,0.23923444976076558,7.899054632259801,0.1265974279904322,62.39506408342503,0.01602690877379266,311.84217745198646,0.003206750312516553,114681208.48855627,2904908.9463985586,9.338e-05,8.7198244e-09,3.442448690998655e-07,1.7671236612645615e-05,0.004203716999590435,0.0036864946358948973,2.7192090278949614e-06,0.0,0.0,-21.352656294706602,1.430311246536665,3.74,7.164728419835605
7,Kr2,84.0,84.0,42.0,X $^1 \Sigma^{+}_{g}$,0,23.6,1.34,,,,4.008,0.0157,12.87,0.0,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",4/1/1977 0:00,4.0,18.0,4.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18,Kr,Kr,"Kr
Kr 1 KrKr2
KrKr2= 4.03",Noble Gas,Noble Gas,Noble Gas-Noble Gas,Kr\nKr 1 KrKr2\nKrKr2= {0},36.0,36.0,48.0,48.0,8.0,36.0,0.0,0,16.0,324,9.0,2.0,18.0,18.0,0.249500998003992,7.574021762224231,0.1320302517465086,57.36580565464625,0.01743198737624644,299.0103940735794,0.0033443653458880215,84851657.58052489,2149317.595018281,0.00010856,1.17852736e-08,4.652639527624089e-07,1.9541086016021174e-05,0.004420530060526812,0.004285777015129043,3.5239193034009516e-06,0.0,0.0,-20.692142418145032,1.3882923637825637,3.74,6.48074069840786
8,Xe2,129.0,132.0,65.24137931,$X \ ^1\Sigma_{g}^+$ ,0,21.12,0.65,,,,4.363,0.023,11.127,0.0,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag,",11/1/1977 0:00,5.0,18.0,5.0,18.0,18.0,18.0,18.0,18.0,18.0,18,18,Xe,Xe,"Xe
Xe 1 XeXe2
XeXe2= nan",Noble Gas,Noble Gas,Noble Gas-Noble Gas,Xe\nXe 1 XeXe2\nXeXe2= {0},54.0,54.0,75.0,78.0,10.0,36.0,0.0,0,25.0,324,9.0,2.5,18.0,18.0,0.22920009168003666,8.24487448816974,0.12128747398579108,67.97795532567224,0.01471065134585395,325.4945981394778,0.003072247606307401,105948913.86801508,2683717.339681845,9.715200000000001e-05,9.438511104000001e-09,3.7261748292707675e-07,2.4310078541182865e-05,0.004930525179043594,0.0038354072270985334,3.072184378831479e-06,0.0,0.0,-21.3758417218632,1.4731598941414727,3.74,8.077213585760871
10,VF,50.942,18.998,13.83751953,X $^5 \Delta$,0,670.4,2.7,0.3863,0.0028,,1.7758,,,3.25,0.515819025,12269.03259,0.12383764,3.0,"[1] Ram, R., Bernath, P. and Davis, S., 2002. Infrared emission spectroscopy of the [10.5]5Î”â€“X5Î” system of VF. The Journal of Chemical Physics, 116(16), pp.7035-7039.
[2] Koukounas, C., Kardahakis, S. and Mavridis, A., 2022. Ab initio investigation of the ground and low-lying states of the diatomic fluorides TiF, VF, CrF, and MnF.",[1] 2002 [2] 2002,4.0,5.0,2.0,17.0,5.0,17.0,11.0,5.0,17.0,5,17,V,F,"V
F 1 VF2
VF2= 1.7758",Transition Metal,F,Transition Metal-F,V\nF 1 VF2\nVF2= {0},23.0,9.0,27.942,9.998000000000001,6.0,22.0,2.0,0,8.0,25,3.8636363636363638,1.3333333333333333,11.0,11.0,0.5631264782070052,3.3557754105184108,0.29799372057664514,11.261228605840008,0.08880025750311167,132.4807030428798,0.007548269121702439,105151.70654281387,2663.5238422324146,0.00308384,9.510069145600001e-06,0.0003754424811763115,0.005195192665668868,0.07207768493555317,0.12174512334502162,0.0012599006463954875,2.0,7.0,,0.5742510256160894,1.75,3.7198816553756116
