,Train_MAE,Train_RMSE,MAE,RMSE,
0,4.766593523,9.059113355,45.34739738,90.10785605,0.030394391
1,8.691567111,16.78086173,23.83246619,36.0747019,0.009601399
2,4.868019208,9.791931958,40.26762848,55.31499314,
3,8.190351907,16.4097171,31.31776969,61.56887315,
4,8.641088738,17.36893764,33.26672,55.7714367,
5,9.116983224,17.03264679,49.3202243,119.3802938,
6,8.625178704,17.1111938,33.81477673,74.72788903,
7,5.661475687,10.83458538,20.864955,42.49882736,
8,8.722158587,16.76217264,21.82827025,34.63068684,
9,8.581291581,16.70498497,38.44938901,76.20377823,
10,8.938265747,17.52876737,52.62445013,94.92754921,
11,8.656951827,17.50939207,26.56505354,38.077768,
12,9.080390234,17.64821026,24.07954709,38.61814143,
13,8.405217976,16.00331585,21.66994475,36.25776551,
14,6.523488595,11.83786562,30.74643179,56.26283248,
15,8.499353541,16.9955925,34.4381292,57.25161371,
16,8.952264115,18.27501072,31.64799173,61.24373278,
17,9.016691977,18.02808811,31.38853152,68.55156896,
18,8.379361809,15.31335358,54.9075253,154.0268169,
19,7.336426965,14.19201476,42.33816751,71.8829474,
20,9.141565182,17.89720436,28.28009236,40.68215689,
21,9.32376861,17.72637594,26.45327641,45.33108866,
22,8.602610568,17.41713898,38.08440894,77.48638179,
23,8.828890609,17.41838968,32.82467031,65.75022805,
24,8.950850405,17.35852026,44.01460619,116.9442833,
25,9.618701542,17.73468691,24.10479337,50.67761792,
26,5.476187601,9.766390386,50.54744754,87.67578987,
27,8.674772149,17.02015821,33.52093882,64.59431695,
28,7.961580062,14.81006172,46.96819985,84.56523355,
29,8.841867564,16.64500889,40.29482996,73.6427819,
30,9.158486586,17.56578469,26.25229337,44.17958203,
31,8.519794685,16.89524807,37.31534901,78.28536633,
32,8.485326031,16.35368385,26.94339767,39.92335751,
33,8.612984643,17.07099194,30.2490063,46.39398374,
34,8.373824682,16.8946822,34.02974838,76.82686558,
35,8.493279072,17.12839931,26.62018933,47.21626275,
36,8.323347783,16.17035635,30.6421124,53.45540642,
37,9.183402608,17.12853115,43.57939243,156.3773222,
38,9.570109614,18.0483157,57.90898026,178.4635176,
39,8.432914948,16.96591181,41.18538933,86.53325771,
40,8.498582389,16.346456,36.27419975,66.59009735,
41,9.653037375,18.00128441,50.41081483,163.1738592,
42,7.023452701,13.29177537,29.32373843,55.19100902,
43,9.470249842,17.8895912,28.0831209,49.18752038,
44,9.094511479,18.17273836,25.98394419,38.89276545,
45,8.137150468,15.8283707,43.01741606,77.90590855,
46,9.896230689,20.61956352,49.54757016,126.9999307,
47,9.403559045,17.79374079,26.06564848,44.8387135,
48,6.631087763,12.0164402,51.66509121,74.05446676,
49,8.732545132,17.38230619,33.91140598,54.60803834,
50,9.416574773,18.4276141,21.99609872,38.66509934,
51,8.946908991,17.27678961,25.75674416,40.61681884,
52,9.726083421,18.40941249,22.78971966,36.19611563,
53,8.043826031,15.61266746,41.4286537,74.66241151,
54,8.800898362,16.67662981,25.09466879,40.63691985,
55,7.403491068,14.4984042,27.24741805,47.42659136,
56,8.280632597,15.95687357,39.68042867,110.1686332,
57,8.021099624,15.77194434,28.64480225,43.73584822,
58,9.323088373,18.55607213,12.90465967,18.19117777,
59,9.197976399,18.38735791,17.78663505,30.27662993,
60,6.482184449,13.07380368,30.90271777,49.39847674,
61,9.635951902,19.40187453,39.12342688,110.7211969,
62,7.936501967,15.42013212,32.47262125,75.15074109,
63,8.061182009,15.5288534,25.61667419,39.35957347,
64,5.241990984,10.04821148,36.01822723,49.13300748,
65,8.411721195,15.64906855,33.99120654,62.94336286,
66,5.114453735,9.342863979,30.32796277,47.43931086,
67,9.45527159,19.15642445,37.85340164,62.48819713,
68,8.119515491,15.94653105,35.97988736,67.73731689,
69,9.197441182,18.52862639,25.18121819,57.3399184,
70,7.929691726,15.57050701,40.00616245,79.65000033,
71,5.79573238,10.65133074,25.16048397,47.39936273,
72,7.899412132,15.82204015,20.99533553,33.81864747,
73,9.087048987,18.20435936,35.90530743,68.25885392,
74,5.45511494,10.68801104,27.29140259,39.75200507,
75,8.059543069,15.73790093,39.97628168,82.82538945,
76,8.355371628,17.02756392,45.45435458,94.71384679,
77,10.30176717,20.11195332,21.61140763,29.53117878,
78,8.743402034,16.36379827,23.43408898,38.32779881,
79,8.68720063,17.35476544,37.41864687,112.6054386,
80,7.806013489,15.65144735,48.30795371,95.57826635,
81,8.604107619,16.38744886,45.15367757,116.1932013,
82,8.100126059,15.56218549,37.07093435,70.86200048,
83,8.631276953,16.4789535,30.61253351,50.27792678,
84,9.01465046,17.02655983,31.17247998,65.1380201,
85,8.23891622,16.51756521,27.22346394,44.36514117,
86,9.397654453,18.66305409,25.80732077,47.75780716,
87,8.552128112,15.98094905,27.20155454,49.20305991,
88,8.57556925,16.68616329,37.49248682,72.67436358,
89,8.618487641,16.56228172,32.39280601,56.9046215,
90,10.05307735,19.59953399,23.25120868,42.48109995,
91,8.177648768,16.09696422,37.71498047,102.0119098,
92,9.298059202,18.75754331,20.33182788,27.46244832,
93,6.038082044,12.0565867,45.43941759,82.14714455,
94,9.107137941,19.58749707,55.18258843,128.5925586,
95,7.999147877,16.18445302,36.61661682,65.25080629,
96,4.99528713,9.640899646,35.34440635,78.29965277,
97,8.991226573,17.09784215,19.08010975,31.67134014,
98,9.35120864,18.9535595,18.61181988,28.10561777,
99,8.944279949,17.86289308,23.20805901,40.51024026,
100,7.671445506,14.38817905,41.19850027,72.82630236,
101,8.920066274,17.35080911,32.27396165,59.17502458,
102,8.101548211,16.03619519,25.89089066,51.0233816,
103,9.530268504,18.6817264,36.02607968,66.20919147,
104,8.645249387,16.74749645,27.99231268,38.56135212,
105,8.226039754,16.9179329,43.43262822,112.1895587,
106,8.737484585,16.01878118,31.69716129,53.62222427,
107,8.704989061,17.36730418,28.01517907,55.51025962,
108,8.274694335,16.50896487,30.71380609,56.65984238,
109,9.00087243,18.13011488,33.6434997,63.84804277,
110,9.753640414,18.88087619,39.31850097,76.42971495,
111,9.12736272,17.69246668,39.23563148,72.51584097,
112,9.006009579,17.02851986,35.24707308,61.95754723,
113,9.752301094,19.3706856,33.8406614,57.59737479,
114,8.04324007,15.31790264,29.75642401,51.98352904,
115,9.212462777,18.01006894,34.41718639,69.17868287,
116,8.237399761,16.63728996,37.23308651,57.85037514,
117,7.900417711,14.68547126,46.72422568,88.11032177,
118,9.906092662,19.67787627,27.8331751,55.13721907,
119,8.215924987,15.72299185,39.11864963,83.14449123,
120,8.938876577,17.84305784,27.75800479,52.35040645,
121,7.417210592,15.36996287,41.56562674,62.94368119,
122,9.412684719,18.143053,28.26155756,57.47593915,
123,5.197729973,10.20039603,37.91393863,70.09677694,
124,8.516152528,16.43591448,30.37428186,57.50946353,
125,9.696796237,18.38815402,25.21507047,49.24447001,
126,8.741780114,18.06442804,35.92090297,59.99165112,
127,5.52030041,10.37391263,26.37811896,43.51648988,
128,8.473209472,16.01991531,31.95408598,69.98284128,
129,7.405124707,14.13502727,58.11205005,132.0758065,
130,5.584271036,10.33681583,25.92364373,44.41204913,
